,V1,V2,V3,V4,V5
779,0.5716039973275436,0.5043171657911005,0.3072253179028208,0.3361361519863029,0.32079914560087847
695,0.5246314947034434,0.6036312227454669,0.3023354549888819,0.32117633789130284,0.28449739269932806
4084,0.5247157853268658,0.4022100785980757,0.32581567892455454,0.3801248235811296,0.32079914560087847
264,0.7530295085205989,0.3783060479703652,0.5939125113304735,0.2887830496170843,0.28985449934981056
3125,0.6157592707116111,0.615068430210494,0.512717310604881,0.30832740450244095,0.3586844186193321
721,0.3172376690951239,0.41692424463024536,0.7532909739314804,0.23080179484509847,0.32079914560087847
1527,0.3670623002349195,0.31586914959889445,0.708663972475541,0.6626318080331322,0.7559393148845283
3892,0.4564770541698867,0.32992828194105983,0.6240175265541706,0.6948694644964254,0.694389533006803
1819,0.4456127322021828,0.5178859552184301,0.30829649566581174,0.39784570145299747,0.28590864101273966
4739,0.3127627242611188,0.28831134074998743,0.4485597883221538,0.519429393408297,0.6464423212288186
629,0.30624912936658705,0.2944438344786105,0.4472584538369927,0.7158423422641772,0.10768310673647462
3302,0.305622273309241,0.2980043774330675,0.4243122524640498,0.45473211083732445,0.32079914560087847
4269,0.4794774513709648,0.5300593483496314,0.30355054980552776,0.4007318491011314,0.2952314503315801
2374,0.8244156811318248,0.3326219606794807,0.574864600956339,0.30109513459892184,0.2973789520956405
2009,0.3249904840322505,0.3630057677573651,0.5357197151805956,0.6445794217510007,0.1764235827157025
452,0.3608774387717348,0.32483137096716447,0.5568484339668571,0.5777081742671387,0.32079914560087847
2531,0.3400171361358635,0.5881379082362095,0.5605263347016818,0.4508523417435969,0.32079914560087847
2041,0.30971229096295083,0.31165506471870097,0.5157274067270996,0.9293361083154024,0.32079914560087847
2326,0.3138548054084413,0.3776625008652233,0.4575298194845263,0.6291322866777724,0.32079914560087847
634,0.3291594686910613,0.3702312771650273,0.48246764123634517,0.8494588495754379,0.0872733558072782
1172,0.31717925717187506,0.3330154880933343,0.6623245239266249,0.743005967874413,0.32079914560087847
4574,0.389666827262486,0.4149874870813215,0.7114217991400726,0.5183703379144398,0.2384602697074701
4291,0.6406360954926994,0.3405339800031983,0.34292356530268564,0.37657349002799567,0.3341916246280806
3940,0.3398562445599275,0.5801466762298702,0.5702170567691045,0.4874091876634044,0.2182101362255823
3511,0.43720392918522905,0.46094680487962064,0.6560183403028376,0.2660685777746929,0.2858144523388773
2705,0.38114312281676194,0.624805473939475,0.7668013025138312,0.2462717053052914,0.25859047440462335
2025,0.4195670774429715,0.669585104554774,0.2905711111483752,0.4067241257143519,0.3571417375610195
2497,0.5409893471439823,0.4026377674136627,0.44169691658173227,0.41878423538326276,0.2799027110088729
4360,0.44263845622166836,0.5483397260404758,0.5533702849428672,0.3018371422456676,0.2817653459593131
4217,0.35371643273800496,0.47932176042504543,0.571208628684235,0.8040591885310382,0.32079914560087847
2368,0.3777419222225278,0.5082857062728091,0.6743614072323756,0.7011077514402722,0.2336155206828981
1474,0.7249273104281697,0.3981406948518618,0.4436279112107331,0.3344422777700655,0.3060585462416778
3974,0.4197514816664936,0.6714905350540734,0.26990067880569857,0.4167028180745471,0.25665234471559123
320,0.4192982347177403,0.7378248167516773,0.5649284275246802,0.2781689962633905,0.37483698528945475
4592,0.3681080954785031,0.33097982657345326,0.6245511805713083,0.7697563828925754,0.19277905048325983
5002,0.640415608967221,0.38819211894970246,0.43440174086195815,0.4295562703893941,0.5754370030918331
3526,0.3299103946309535,0.3678298350466743,0.5296512434636136,0.7876636212720669,0.32079914560087847
1016,0.6193945626337004,0.34622192798000795,0.40406306773296735,0.39000952228083574,0.30283930678861637
407,0.45205209219678816,0.6363741058364979,0.2817809302348723,0.3260587662825941,0.2998468391503348
1068,0.6924872506735117,0.3173817985664742,0.39760854450842187,0.3827371243145693,0.346954261836173
5289,0.5801488483682666,0.5519821668532366,0.2963624365802139,0.33252155346937834,0.2972134388687466
1191,0.8183661283009761,0.2954655438256474,0.5965129690272443,0.3084242902755605,0.2953371429656088
3507,0.7591876040138898,0.39486418381399974,0.3185155278392891,0.34182873342819464,0.30825307044291833
3607,0.33286278462503543,0.4303089503469247,0.8975839440901595,0.14260844699335973,0.32079914560087847
2367,0.3226117139123005,0.30395979874309914,0.5331833844168236,0.9069039789685569,0.12305728670183906
3369,0.2745762621633588,0.3301462287005898,0.5543205797516998,0.728226007033618,0.10524944396327535
4810,0.3281837677553762,0.36666610974134006,0.22162673444465802,0.8491933174845562,0.08591056792606752
2985,0.33307218027901087,0.40316063078953707,0.7961159717156,0.590928563371972,0.23254536478841992
1397,0.32365277705070955,0.42454566827458967,0.7281200470927558,0.242152433134356,0.32079914560087847
3236,0.44265782827722683,0.7209274537135383,0.5369373898163851,0.2961317270539784,0.2822518196748492
1672,0.36812170028088004,0.47577046640904896,0.8230590500331967,0.20946740299854238,0.4455539854247701
3080,0.35249111325436044,0.6116136533426261,0.25625619962787954,0.4546422745887416,0.2798332558493683
3037,0.4448456875290396,0.6209562745991928,0.2728562301803091,0.4352606010388469,0.26702172681056874
5098,0.3960168687719211,0.3352009227457055,0.6665458451367737,0.5422638879248514,0.42795839075127623
1343,0.3723575259252818,0.7081176739456807,0.5389660490272515,0.4678368154369404,0.3813519655306842
1748,0.6262604036071654,0.33036820322364296,0.34169004320644253,0.3905825220957405,0.26927564020616823
4336,0.5479378520797158,0.4959614957741302,0.46789350580284245,0.45250970303787513,0.27333136136282815
2491,0.43280972589576533,0.6283690004224677,0.5960530241284956,0.5872751020915759,0.5170434764852583
999,0.2761124218056589,0.4144458274756723,0.6408154660894751,0.2153062168853104,0.24398590937439021
4273,0.474204555301895,0.33314437652607487,0.7465287151376601,0.6980215057495199,0.16199747286755048
1807,0.34370181940571265,0.5488094826084156,0.5545614242960365,0.4530532394553574,0.2778885113832405
2523,0.45934293536624576,0.5172391262318989,0.7045620600371826,0.5919928608199718,0.2194387591713525
152,0.34221298081515833,0.3258071339747522,0.5015278978878099,0.785959263147544,0.32079914560087847
180,0.5453306100068054,0.39459790389219196,0.3287469062900966,0.3422188071192245,0.33981360996139415
1813,0.46060818198730086,0.4203879720837202,0.32436858465777874,0.3409381434950603,0.3062532507674939
974,0.377677003654664,0.6223917993541258,0.603748993179511,0.6728346391221861,0.21046782723410146
4208,0.6700660927214602,0.30950617829089166,0.3926587929357918,0.386959427997964,0.28206186053260174
1761,0.326368118151202,0.3103872142674721,0.5132437779829758,0.5061965320677448,0.5102524012000356
5081,0.30907523130382214,0.2996132451959223,0.4162313375422469,0.25238057020892624,0.5778652014839534
3778,0.3596683858996279,0.400013306537269,0.8264120778287211,0.2099406249276972,0.24681228858776955
4115,0.3419247660343687,0.48987211403284747,0.27293454611859763,0.41387198208047016,0.29440359659810644
1923,0.32106475915507077,0.35639426852234185,0.5863020448567897,0.7982044680248028,0.16748385527040274
93,0.34927476051850864,0.42373578945358464,0.7698458576488967,0.5998742292519841,0.5814151797917985
4271,0.413454528461986,0.5940764726100146,0.26074969175768054,0.30390048385044305,0.2894397815858123
230,0.12180246477613155,0.09161774674377697,0.30429611753803437,0.324413154195877,0.29284452239655673
2803,0.3558130510869202,0.7565345241988033,0.2603947823526366,0.4338611800397955,0.2875209210300589
