,c
431,0
899,1
251,0
207,0
535,0
492,1
513,0
1130,0
797,0
1535,0
99,1
131,0
1050,0
1242,0
1216,0
942,0
501,0
858,0
466,1
127,0
371,0
1121,0
221,0
402,0
826,0
832,0
435,1
40,0
220,0
163,0
6,0
506,0
374,0
473,0
1541,0
680,0
878,1
1495,0
312,0
477,0
409,0
1333,0
546,0
275,0
2,0
572,0
14,0
1343,1
924,0
1132,0
552,0
1384,0
578,0
317,0
1425,0
1309,1
683,0
1137,1
453,0
889,0
24,0
883,0
1210,0
239,0
359,0
632,0
483,0
414,1
598,0
1199,0
1499,0
394,0
565,0
1140,0
461,0
1411,0
932,0
1502,1
284,0
246,0
1269,0
576,0
482,0
1460,0
412,0
857,0
604,0
413,0
232,0
1281,0
375,0
699,0
1498,0
1349,0
272,0
1310,0
201,0
464,0
1266,0
682,0
751,0
321,0
365,0
1526,0
228,0
27,0
1475,0
1549,0
702,0
923,0
1450,0
234,1
45,0
1369,0
1049,0
803,0
49,0
1275,1
1048,0
476,0
1071,0
594,0
1295,0
534,0
762,1
916,1
1316,0
1292,0
1480,0
233,0
930,0
817,0
563,0
153,0
9,0
950,0
170,0
845,0
913,1
1152,0
946,0
194,0
539,0
400,0
508,0
263,0
53,0
1459,0
1023,1
1024,1
812,0
1503,0
470,1
800,0
1020,0
725,0
162,0
730,0
697,0
335,0
30,0
550,0
1238,0
738,0
1164,0
986,0
839,0
1094,0
1536,0
905,0
669,0
1421,0
589,1
379,0
208,0
384,0
1427,0
1397,0
244,0
1138,1
1167,0
1103,0
495,0
1300,0
758,0
1045,0
23,0
1218,0
334,0
280,0
211,0
1007,0
921,0
892,0
785,0
98,0
1233,0
998,0
133,1
56,0
169,0
1255,0
355,0
337,0
732,0
380,0
1452,0
1283,0
1494,1
152,0
43,0
1127,0
1354,0
270,0
1491,0
681,0
1290,0
1038,0
978,0
836,0
1075,0
567,0
120,0
105,0
837,0
235,1
1337,1
640,0
189,0
1014,0
929,0
210,0
478,0
385,0
328,0
496,0
300,0
1347,1
1476,0
407,0
746,0
197,0
510,0
962,0
332,0
383,0
140,1
530,0
1342,0
875,0
1478,0
684,0
490,0
890,0
364,0
118,0
870,0
938,1
293,0
888,0
945,0
1044,1
73,0
417,0
497,0
430,0
130,1
1548,0
1293,1
806,0
256,0
1267,0
1133,0
193,1
549,0
1465,0
245,0
1529,0
1184,0
691,0
147,0
840,1
445,0
126,1
1326,0
784,0
227,0
266,0
706,0
68,0
283,0
1111,0
977,0
555,0
1438,0
865,1
933,0
1387,0
1008,0
743,1
666,0
498,0
1153,0
442,0
1025,0
519,0
1273,0
947,1
1399,0
926,0
728,0
456,0
601,0
783,0
856,0
84,0
1420,0
1170,0
616,0
292,0
979,0
314,1
1254,0
740,0
655,0
467,0
1122,0
1288,0
652,0
1060,0
1444,0
1155,0
620,1
1482,0
182,1
896,0
1110,0
1078,0
872,0
378,0
195,0
1237,0
139,0
386,0
991,0
1022,0
906,1
988,0
1222,0
917,0
310,0
813,0
1471,0
774,0
416,0
1558,0
243,1
1434,0
1313,0
772,0
788,0
484,0
134,0
149,0
545,0
213,1
611,0
1036,0
1043,0
1247,0
1469,0
1320,0
1537,0
1371,0
624,0
714,0
1201,0
148,0
81,0
325,0
474,0
1466,0
698,0
74,1
1454,0
369,0
1000,0
1012,0
1359,0
1509,0
1030,0
376,0
91,0
570,0
452,0
485,0
922,0
393,1
1358,0
104,0
1179,0
643,0
1409,0
226,1
38,0
264,0
527,0
1041,0
1364,0
573,0
109,1
936,0
1241,0
285,0
538,0
831,0
303,0
277,0
627,0
231,0
1115,0
174,1
771,0
306,0
34,0
1448,0
110,0
1095,0
311,0
696,0
429,0
1019,0
455,0
1393,0
1306,0
1182,0
791,0
33,0
525,0
1350,0
1474,1
537,0
798,1
520,0
980,0
753,0
135,0
927,0
1205,0
1297,0
8,0
848,0
1528,0
904,0
1553,0
1131,1
1551,0
1489,1
1451,0
438,0
329,0
742,0
676,0
1265,0
261,0
1259,0
370,0
1543,0
184,1
1059,0
1089,0
925,1
764,0
592,1
509,0
891,0
1345,0
1304,0
1144,0
143,0
32,0
581,1
778,0
805,0
862,0
1368,0
1315,0
1401,0
773,0
278,0
1223,0
259,0
824,0
250,0
1317,0
1464,0
357,0
1100,0
354,0
1136,0
377,0
462,0
726,1
96,0
1229,1
1151,0
347,1
860,0
654,0
1117,1
596,0
1330,0
1086,0
901,0
779,0
729,0
1031,0
1246,0
663,0
1517,0
204,0
265,0
1257,0
366,0
590,0
54,0
415,0
1076,0
1169,0
613,0
828,0
1403,0
1149,0
141,0
964,0
44,0
346,0
1069,0
101,0
874,0
97,0
835,0
114,0
423,0
1419,0
951,0
656,0
46,1
475,0
588,0
297,0
863,0
741,0
1390,0
389,1
909,0
368,0
1118,1
47,0
1148,0
602,0
192,0
1230,0
587,1
621,0
1299,0
1311,1
1405,0
178,0
999,0
72,0
12,0
1134,0
236,1
645,0
387,0
711,0
107,0
528,0
1442,1
585,0
77,0
168,0
145,0
339,0
690,0
1511,0
1146,0
558,0
971,0
634,0
1417,0
1181,0
358,0
734,1
1107,0
1488,1
1443,0
1433,1
1436,0
628,0
790,0
532,1
313,0
1004,1
1392,0
1057,0
323,0
1453,0
116,1
644,0
212,0
619,0
345,0
1105,0
1177,0
1512,0
809,0
1365,0
1294,0
775,0
996,0
606,0
411,0
521,0
515,1
1328,0
651,0
685,0
1515,0
155,0
1413,0
1032,0
1091,0
1556,0
642,0
1171,0
1065,0
489,0
1562,0
1165,0
647,0
446,0
177,0
583,0
704,0
1037,0
1129,0
1561,0
1318,1
1274,0
1522,0
1077,0
1062,0
294,0
249,0
1194,0
158,0
1314,0
1034,0
237,0
176,0
1249,0
410,0
1253,1
1483,0
1195,0
1381,0
286,0
719,0
912,0
769,1
735,0
1514,0
1260,0
215,0
514,0
75,0
167,0
1070,0
796,0
1412,0
503,0
575,0
814,1
556,0
1248,0
1352,0
761,0
305,0
1193,0
203,0
754,0
1362,0
536,0
825,0
529,0
1396,0
1262,0
1006,0
908,0
1355,0
160,1
847,0
582,0
468,0
864,0
661,0
1035,0
1280,0
1336,0
949,0
1226,0
79,0
1497,0
66,0
22,0
1510,0
976,1
984,0
252,0
62,0
721,0
15,0
298,0
1470,0
1212,0
1307,0
1559,0
1150,0
1159,1
1550,0
571,0
51,0
787,0
1042,0
111,0
867,0
660,0
95,0
880,0
1245,0
1467,0
340,0
1083,0
17,0
320,0
833,1
1455,0
1560,0
397,0
1126,0
92,0
615,1
1410,0
626,0
1321,1
219,0
516,1
876,0
156,0
137,0
128,0
1382,0
724,0
1486,0
205,0
1545,0
426,0
1039,1
1026,0
419,0
458,0
638,0
1398,0
4,0
1339,1
1513,0
1547,0
600,0
80,1
1174,0
333,0
1112,0
972,0
186,0
460,0
593,0
1251,0
142,0
560,0
247,0
1018,0
115,0
700,0
686,0
1394,0
1524,0
554,0
119,0
1217,0
695,0
1356,0
78,0
517,0
873,0
623,0
952,0
1449,0
1406,0
190,0
935,0
1093,0
827,0
100,0
668,0
1523,0
846,0
1009,0
940,0
931,0
752,0
851,0
1377,0
1366,0
989,0
954,1
279,0
350,0
1484,0
542,0
958,0
367,1
1072,0
106,0
879,0
745,1
533,0
1052,0
1016,0
88,0
1519,0
19,0
505,1
838,0
961,0
83,0
391,0
122,0
447,0
1323,0
1054,0
553,0
164,0
1322,0
1092,0
963,1
1344,0
1363,0
59,0
382,0
1426,1
1303,0
569,0
1081,0
150,0
276,0
894,0
557,1
71,0
166,0
967,0
1005,0
662,0
144,0
1414,1
1211,1
763,0
493,0
975,0
983,1
42,0
241,0
469,0
242,0
861,0
755,0
291,0
117,0
810,0
610,0
343,0
1156,0
1175,0
1186,0
157,0
834,0
1546,0
547,0
388,0
884,0
855,0
981,0
1097,0
955,0
349,0
183,0
973,0
564,0
635,0
390,0
1538,0
1027,0
526,0
687,0
1389,0
94,0
633,0
254,0
608,0
353,0
39,0
646,0
25,0
472,0
1017,0
939,0
992,0
673,0
1139,0
511,0
605,0
288,0
750,0
559,0
1051,0
434,0
792,0
710,0
1183,0
770,0
1353,0
617,0
843,0
595,0
679,0
481,1
1209,0
1544,0
1435,0
1332,0
1331,0
1285,0
1278,1
20,0
488,1
886,0
11,0
722,0
29,0
224,0
255,0
395,0
136,0
1437,0
344,0
1098,0
1457,0
1085,0
36,0
356,0
1446,0
253,0
822,0
230,0
941,0
1487,0
1204,0
299,1
607,0
1289,0
1172,0
1324,0
69,0
301,0
151,0
1,0
895,0
777,0
1234,0
450,0
3,0
1432,0
629,0
352,0
1243,0
1527,1
1214,0
1113,0
657,0
614,0
10,0
997,0
765,0
225,0
850,0
1319,0
1033,0
1501,0
1329,0
218,0
1002,0
1378,0
381,0
808,0
759,0
1154,0
1422,0
795,0
1256,0
1473,0
1271,0
1383,1
731,0
776,0
893,0
659,1
403,0
653,1
161,0
424,0
206,0
767,0
1240,1
396,0
48,0
717,0
216,0
1284,0
7,1
500,0
1180,0
781,0
392,0
1227,0
180,0
405,0
898,0
372,0
1552,0
811,0
1282,1
551,0
995,0
55,0
1239,0
1068,0
1221,0
709,0
579,0
708,0
1224,0
1468,0
1166,0
308,0
1472,0
678,0
969,1
789,0
968,0
1235,0
443,0
1373,0
1244,0
1252,0
716,0
1504,0
854,0
1500,1
1348,1
823,0
1028,0
1276,0
820,0
841,0
196,0
749,0
281,0
1416,0
5,0
296,0
102,0
544,0
138,0
