,V1,V2,V3,V4
1022,0.46023408259957166,0.3946573768835572,0.39166433325435634,0.8848941142238832
1168,0.5612480078460218,0.5801000572504088,0.09002520085295196,0.7640233867081299
1214,0.29393015021381846,0.12899677077759528,0.6061171301182502,0.5850677869008974
665,0.6403305713605781,0.7447155627565512,0.26391410170805785,0.8275157532938704
106,0.6746785510820731,0.9144424446298743,0.07570163913240142,0.3437991580057648
874,0.3059876396310639,0.5890056763967416,0.20946992052038688,0.5851859934349909
921,0.29990841500263216,0.5816491859590566,0.25741745105218944,0.7350991570964837
568,0.8210631071111785,0.6399547983700472,0.2637292954530769,0.836333960737245
358,0.7019449191960712,0.9200926483739761,0.08555797273138477,0.38729916255216995
1119,0.40417108365964993,0.44568133599254617,0.40115019277575553,0.8273975467597771
1287,0.2198616850197232,0.6134736779084518,0.25479699312899823,0.6718404757358357
584,0.5320403262445104,0.7711966832181465,0.25775001615439297,0.7266328414122952
1058,0.3951856579336405,0.4325960628182917,0.411191763413531,0.8027060203497094
11,0.7955635361904968,0.414092581020554,0.3308721218256618,0.8557343808250815
987,0.4677051107313098,0.6356179863571901,0.08519180649191205,0.5229911708811842
695,0.5435829204797035,0.8979483399252377,0.18045964632649106,0.4121134419014884
317,0.7005098471900713,0.7270614824488207,0.25915264824347906,0.641861480127663
1026,0.5163490037427255,0.530003330252538,0.18540375212699506,0.8162279385689735
1350,0.49205085491349904,0.43290663693137804,0.2236069528507119,0.8285741564145229
914,0.32505462648465044,0.4864106987169173,0.3724686066297629,0.7774270983933003
392,0.5703841521897468,0.7235778137827553,0.29993753634738407,0.7620238777198868
1197,0.4486633638376277,0.5397594734459134,0.20666465634221468,0.7293379524809732
241,0.4073729528589663,0.5739821214082852,0.5524500829258837,0.848561972048701
14,0.753311843310329,0.8418878415847513,0.09884765330518881,0.7252225465324568
36,0.7016853081799105,0.7406107458643129,0.20762444267344435,0.7142875328477772
493,0.71036064296995,0.9383678769078793,0.08386068451547592,0.3754239522809314
803,0.5736862600869697,0.6402616306263493,0.05300364012320419,0.6250488738554425
368,0.7601266324845496,0.6337582835354559,0.2374855148943503,0.7622593815070423
427,0.41408678219356887,0.8995760476263532,0.10050617097809467,0.2440874000927466
145,0.5452985166114993,0.3932616643030604,0.3608072888620846,0.6877165225456232
351,0.5452985166114993,0.3932616643030604,0.3608072888620846,0.6877165225456232
1219,0.24968089479263567,0.53255864425045,0.3287655889891658,0.7356865526428252
33,0.4382370969719259,0.8675195605563392,0.30226376892756374,0.3350973385344208
1251,0.45181114740857725,0.520247561244841,0.22637529885626897,0.7450930649135729
569,0.6393570300499751,0.26186636332681,0.5890279363301527,0.7280440455731653
893,0.4520996040932004,0.2367023764532436,0.5073814806039589,0.8101139329132455
1162,0.6328162747261464,0.663337661414347,0.023473409869257122,0.5497967756894624
158,0.6710584196900532,0.34750249768940344,0.38520257608719066,0.7215772388772197
679,0.5639436355638247,0.7639187717729292,0.17849957998578414,0.6811333278776471
875,0.37349371524998376,0.4836233895983865,0.33703663816313784,0.7861279176555097
1305,0.22692887379298904,0.6665107559673261,0.2147112671505805,0.5787210053011084
430,0.6209895506565996,0.75284661754856,0.21984190234131,0.5581439755585258
1188,0.29004319638852233,0.49020456731039075,0.3442694983522519,0.8552642825318021
1094,0.6533399678370796,0.5826557454339992,0.10028647123441102,0.7963574201878574
1273,0.3371049044847803,0.49903160746425596,0.30060525125465787,0.7381561599243478
