,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL
200,0.058823529411764705,0.14285714285714285,0.28,0.0,0.0,0.04878048780487805,0.18518518518518517,0.3974358974358974,0.05555555555555555,0.17391304347826086,0.2,1.0,0.12030075187969924,0.0,0.0,0.15454545454545454,0.0,0.13359701164579216,0.20443189224418856,0.022412994623900867,0.06310679611650485,0.08144796380090498,0.10769230769230768,0.022412940895517968,0.06312442571066026,0.13541666666666669,0.043478260869565216,0.041666666666666664,0.10185185185185185,0.3823529411764706,0.07614213197969544,0.08571428571428572,0.19047619047619047,0.2926829268292683,0.10778443113772455,0.0,0.14678899082568808
170,0.2647058823529412,0.5510204081632653,0.24,0.0,0.09523809523809523,0.1951219512195122,0.7777777777777778,0.6025641025641025,0.2222222222222222,0.17391304347826086,0.8,0.945054945054945,0.43609022556390975,0.0,0.0,0.4,0.3333333333333333,0.21164579213359705,0.6856398001303498,0.30641003634495195,0.2912621359223301,0.3178733031674208,0.015384615384615382,0.30640954202218157,0.2902877645377245,0.01041666666666667,0.17391304347826086,0.16666666666666666,0.3425925925925926,0.5294117647058824,0.28426395939086296,0.3448979591836735,0.45714285714285713,0.6341463414634146,0.33532934131736525,0.09411764705882353,0.3944954128440367
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00909090909090909,0.16666666666666666,0.015205449351790816,0.010862480990658266,0.00011256557883442122,0.0048543689320388345,0.0022624434389140274,0.7384615384615384,0.00011199991114056638,0.0013029379305650763,1.0,0.0,0.0,0.0,0.35294117647058826,0.0025380710659898475,0.0020408163265306124,0.009523809523809525,0.024390243902439025,0.0,0.0,0.0
219,0.11764705882352941,0.16326530612244897,0.2,0.0,0.09523809523809523,0.17073170731707318,0.14814814814814814,0.41025641025641024,0.16666666666666666,0.20260869565217393,0.12,0.7802197802197802,0.12781954887218044,0.09090909090909091,0.0,0.11818181818181818,0.16666666666666666,0.14990112063282796,0.12383228329350424,0.010702420525050292,0.04854368932038835,0.06221719457013575,0.18461538461538463,0.010702008038076269,0.04535488042627462,0.5833333333333333,0.17391304347826086,0.14583333333333334,0.12037037037037036,0.29411764705882354,0.07614213197969544,0.05102040816326531,0.17142857142857143,0.14634146341463414,0.11976047904191617,0.24764705882352941,0.11009174311926606
241,0.058823529411764705,0.0,0.08,0.0,0.047619047619047616,0.0,0.0,0.20512820512820512,0.0,0.0,0.0,1.0,0.015037593984962405,0.0,0.0,0.03636363636363636,0.5,0.10938255328499231,0.0325874429719748,0.0013570091639385756,0.014563106796116504,0.021493212669683258,0.4769230769230769,0.0013569576010914902,0.013314599549157546,1.0,0.0,0.0,0.018518518518518517,0.11764705882352942,0.025380710659898477,0.018367346938775512,0.0761904761904762,0.04878048780487805,0.041916167664670656,0.29411764705882354,0.027522935779816515
4,0.029411764705882353,0.0,0.12,0.0,0.09523809523809523,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.03759398496240601,0.0,0.0,0.045454545454545456,0.0,0.16787519226543618,0.042580925483380404,0.0026568356309087295,0.024271844660194174,0.03619909502262444,0.4153846153846153,0.0026565268179621943,0.023122286558833968,1.0,0.0,0.0,0.046296296296296294,0.10294117647058826,0.04060913705583756,0.0326530612244898,0.10476190476190476,0.04878048780487805,0.05389221556886228,0.42776470588235294,0.03669724770642202
285,0.058823529411764705,0.0,0.2,0.0,0.047619047619047616,0.0,0.0,0.12820512820512822,0.0,0.0,0.0,1.0,0.03759398496240601,0.0,0.0,0.06363636363636363,0.3333333333333333,0.13860689958250932,0.07060612643927873,0.004309220164799299,0.029126213592233007,0.04072398190045249,0.2923076923076923,0.004308756912060632,0.02730335603751295,1.0,0.0,0.0,0.046296296296296294,0.08823529411764708,0.04314720812182741,0.03877551020408163,0.11428571428571428,0.0975609756097561,0.059880239520958084,0.21388235294117647,0.05504587155963303
162,0.29411764705882354,0.24489795918367346,0.56,0.0,0.11904761904761904,0.24390243902439024,0.2222222222222222,0.15384615384615385,0.2777777777777778,0.17391304347826086,0.24,1.0,0.39097744360902253,0.0,0.0,0.45454545454545453,0.3333333333333333,0.5812348934300153,0.14512274603519443,0.04772651984357859,0.18446601941747573,0.21266968325791855,0.15384615384615383,0.0477258464323863,0.18210988433995012,0.10416666666666667,0.21739130434782608,0.20833333333333334,0.42592592592592593,0.13235294117647062,0.22588832487309646,0.20204081632653062,0.45714285714285713,0.14634146341463414,0.38323353293413176,0.10317647058823529,0.44954128440366975
310,0.2647058823529412,0.12244897959183673,0.24,0.0,0.16666666666666666,0.14634146341463414,0.1111111111111111,0.2948717948717948,0.16666666666666666,0.17391304347826086,0.12,1.0,0.13533834586466165,0.0,0.0,0.13636363636363635,0.3333333333333333,0.3082399472643375,0.07603736693460786,0.009747078668683969,0.06310679611650485,0.07805429864253394,0.27692307692307694,0.00974676912653028,0.06011664859731601,0.21875,0.13043478260869565,0.125,0.1388888888888889,0.16176470588235295,0.08375634517766498,0.07346938775510205,0.24761904761904763,0.12195121951219512,0.17964071856287425,0.3431764705882353,0.12844036697247707
371,0.5882352941176471,0.6122448979591837,0.44,0.0,0.7857142857142857,0.5609756097560976,0.5555555555555556,0.2948717948717948,0.4444444444444444,0.2504347826086956,0.28,0.45054945054945056,0.556390977443609,0.22727272727272727,0.0,0.5818181818181818,0.0,0.2980004394638541,0.4190745166195959,0.1648350891129596,0.24757281553398058,0.27714932126696834,0.046153846153846156,0.1648351750068033,0.2480881330552436,0.3541666666666667,0.6521739130434783,0.5,0.5462962962962963,0.17647058823529416,0.2893401015228426,0.2673469387755102,0.4857142857142857,0.3902439024390244,0.6946107784431138,0.3921176470588235,0.5779816513761468
346,0.20588235294117646,0.12244897959183673,0.16,0.0,0.14285714285714285,0.04878048780487805,0.14814814814814814,0.20512820512820512,0.05555555555555555,0.17391304347826086,0.16,1.0,0.12030075187969924,0.0,0.0,0.24545454545454545,0.0,0.12428037793891453,0.22441885726699978,0.024831174772228258,0.0679611650485437,0.08144796380090498,0.0923076923076923,0.024830657985593665,0.06452783895427887,0.16666666666666669,0.043478260869565216,0.041666666666666664,0.1111111111111111,0.16176470588235295,0.07614213197969544,0.08571428571428572,0.2,0.34146341463414637,0.23353293413173654,0.20164705882352943,0.23853211009174313
361,0.0,0.04081632653061224,0.04,0.0,0.0,0.04878048780487805,0.037037037037037035,0.3589743589743589,0.05555555555555555,0.17391304347826086,0.04,1.0,0.03007518796992481,0.0,0.0,0.045454545454545456,0.0,0.009975829488024612,0.058005648490115136,0.0006818213840866109,0.0048543689320388345,0.007918552036199095,0.3384615384615384,0.0006812556578467508,0.003952569169960474,0.4791666666666667,0.043478260869565216,0.041666666666666664,0.027777777777777776,0.35294117647058826,0.007614213197969543,0.00816326530612245,0.009523809523809525,0.04878048780487805,0.023952095808383235,0.0,0.03669724770642202
112,0.4411764705882353,0.42857142857142855,0.64,0.0,0.023809523809523808,0.0975609756097561,0.6666666666666666,0.3974358974358974,0.1111111111111111,0.17391304347826086,0.72,1.0,0.39097744360902253,0.0,0.0,0.5181818181818182,0.16666666666666666,0.2572621401889695,0.5142298500977623,0.2113873067371399,0.2621359223300971,0.2850678733031674,0.030769230769230767,0.21138733641996452,0.26290175945237715,0.01041666666666667,0.08695652173913043,0.08333333333333333,0.3148148148148148,0.35294117647058826,0.22842639593908629,0.3306122448979592,0.4857142857142857,0.6341463414634146,0.4311377245508982,0.01964705882352941,0.5137614678899083
382,0.058823529411764705,0.10204081632653061,0.08,0.125,0.0,0.0,0.14814814814814814,0.47435897435897434,0.0,0.0,0.04,0.3406593406593407,0.09022556390977443,0.0,0.0,0.08181818181818182,0.16666666666666666,0.08486047022632388,0.1303497718878992,0.007337331939693647,0.029126213592233007,0.0418552036199095,0.1692307692307692,0.0073373826083575995,0.029325826855106492,0.16666666666666669,0.0,0.0,0.07407407407407407,0.44117647058823534,0.03299492385786802,0.04897959183673469,0.09523809523809523,0.21951219512195122,0.0718562874251497,0.18094117647058824,0.09174311926605505
236,0.08823529411764706,0.04081632653061224,0.16,0.0,0.023809523809523808,0.04878048780487805,0.037037037037037035,0.21794871794871792,0.05555555555555555,0.17391304347826086,0.04,1.0,0.07518796992481203,0.0,0.0,0.08181818181818182,0.5,0.10626235992089651,0.12144253747555941,0.0078098091157241005,0.03398058252427185,0.05429864253393665,0.18461538461538463,0.007809448349528582,0.033226537798974824,0.4791666666666667,0.043478260869565216,0.041666666666666664,0.08333333333333333,0.17647058823529416,0.06091370558375635,0.04897959183673469,0.08571428571428572,0.07317073170731707,0.0718562874251497,0.098,0.07339449541284404
22,0.11764705882352941,0.0,0.08,0.0,0.07142857142857142,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,1.0,0.022556390977443608,0.0,0.0,0.08181818181818182,0.0,0.11803999121072291,0.09928307625461656,0.00620900214034012,0.03398058252427185,0.04411764705882353,0.2153846153846154,0.006209052925048919,0.030811889146559447,1.0,0.0,0.0,0.027777777777777776,0.05882352941176471,0.03807106598984772,0.04897959183673469,0.11428571428571428,0.17073170731707318,0.08982035928143713,0.2521176470588235,0.07339449541284404
