,c
1383,0
637,0
466,0
584,0
1200,0
1365,0
658,0
16,0
1229,0
636,0
1005,1
516,0
167,0
12,0
660,0
358,0
1341,0
1173,0
832,0
347,0
39,0
909,0
345,0
956,0
13,0
314,0
1130,0
757,0
281,0
507,0
1266,0
483,0
315,0
294,0
21,0
562,0
987,0
209,0
19,0
1456,0
1250,0
164,0
739,0
323,0
778,1
1008,0
782,0
668,0
648,0
1223,0
589,0
1216,0
1062,0
787,0
1212,0
148,0
711,0
529,0
749,0
1311,1
1256,0
967,0
624,0
32,0
804,0
87,0
38,0
1416,1
14,0
604,0
303,0
469,1
451,0
1206,0
104,1
228,0
729,1
693,0
719,0
657,0
1434,0
1010,1
1347,0
903,0
1222,0
1131,0
1324,0
1275,0
343,0
553,0
122,0
985,0
1393,0
340,0
717,0
1119,0
1356,0
894,1
1306,0
127,0
1335,0
924,0
916,0
413,0
1185,0
592,0
981,0
583,0
270,0
1174,1
833,0
788,0
538,0
1015,0
101,0
1063,0
359,0
1084,0
1071,0
462,0
124,0
221,0
680,0
1279,0
1050,1
1019,0
7,0
175,0
943,0
399,1
596,0
170,0
783,0
1387,0
236,0
849,0
348,1
1042,0
482,1
65,0
373,0
1070,0
780,0
305,0
1392,1
911,0
1127,0
567,0
1210,0
172,0
1321,0
501,0
805,0
1124,0
983,0
792,0
293,0
939,0
897,0
1092,0
328,0
808,0
1319,0
1419,0
1242,0
702,0
439,0
368,0
272,0
1146,0
623,0
800,0
110,0
26,0
369,0
327,0
633,0
109,0
777,0
642,0
1103,0
682,0
515,1
223,1
1276,0
208,0
1069,1
885,0
118,0
1026,0
277,0
494,0
1442,0
59,1
1000,0
49,0
647,0
807,0
280,0
1433,0
1097,0
558,1
544,0
1445,0
795,0
442,0
502,0
409,1
1391,0
744,0
100,1
755,0
774,0
1273,0
58,1
705,0
372,1
143,0
595,0
1355,1
1376,0
1009,0
736,0
1454,0
683,0
842,0
961,0
528,0
120,0
970,0
880,0
1314,1
384,0
1248,0
252,1
1082,0
723,0
929,0
307,1
1344,1
1282,0
222,0
1261,0
1357,0
1077,0
1342,0
906,0
1186,0
971,0
962,0
618,0
661,1
1083,0
102,1
927,0
1317,0
811,0
117,0
537,0
853,0
271,0
1450,0
1164,0
342,0
371,0
934,1
524,0
346,1
535,0
965,0
947,0
912,0
831,0
1293,0
1221,1
154,0
797,1
1260,0
692,0
1265,0
389,0
70,0
619,0
1191,0
877,1
598,0
395,0
1290,0
806,0
643,0
580,0
4,0
1137,1
86,0
1331,0
54,0
224,0
1426,0
591,0
1054,0
1354,0
1345,0
295,0
823,0
1151,0
1332,0
536,0
1232,1
404,0
650,0
265,0
762,0
181,0
396,0
390,0
559,0
1379,0
1325,0
523,0
302,0
198,1
1295,0
1080,0
9,0
103,0
1352,1
329,0
801,0
450,0
813,0
188,0
430,0
869,0
1277,0
146,0
448,0
406,0
1036,1
1451,0
751,0
319,0
607,0
678,0
550,0
1209,0
1410,0
585,0
1313,0
892,0
251,0
1220,0
630,0
1180,0
859,0
98,0
1065,0
1358,0
283,0
1429,0
724,0
663,0
1251,0
83,0
1096,0
616,0
1045,0
718,1
855,0
980,0
854,0
322,0
200,0
186,0
408,0
871,0
1299,0
695,0
710,0
1091,0
496,0
279,0
789,0
262,1
993,0
509,0
786,0
1139,0
759,0
275,0
1407,0
1110,0
1280,0
1409,1
37,0
377,0
1143,0
1246,0
57,0
202,0
1323,1
1167,0
681,1
884,0
397,0
47,0
441,0
1170,0
1327,0
712,0
919,0
241,0
73,0
1298,0
996,0
385,0
273,0
217,0
1336,0
1330,0
156,0
363,0
239,0
1085,0
1384,0
641,0
727,0
1452,0
114,0
46,0
691,0
176,0
365,0
1381,0
632,0
423,0
1414,0
868,0
1457,0
773,0
1402,0
107,0
1205,0
379,0
1003,0
566,1
519,0
835,1
1359,0
841,0
152,0
106,0
1171,0
1453,0
582,0
926,0
913,0
247,0
696,0
599,0
974,0
1264,0
579,0
640,0
504,0
1123,0
8,1
1406,0
161,0
812,1
629,0
375,1
1017,0
551,0
130,0
713,0
405,0
857,0
907,1
386,0
1374,0
330,0
351,1
1160,0
756,0
238,0
1368,0
988,1
1159,0
1095,0
966,0
1087,0
920,1
1238,0
487,0
555,0
479,0
1153,0
51,0
299,0
353,0
521,0
635,0
1430,1
357,0
1034,0
488,0
840,0
1440,0
1079,1
955,0
355,0
366,0
901,0
1048,1
476,0
1259,0
1023,0
865,0
1233,0
694,0
1046,0
424,0
162,0
886,0
173,0
838,0
667,0
534,0
387,0
447,0
235,0
1202,0
216,1
35,0
1075,1
615,0
97,0
602,0
203,1
18,0
31,0
506,0
150,0
932,0
115,0
497,0
1099,0
410,0
1428,0
543,0
1338,0
816,0
531,0
1109,0
1444,0
1051,0
1424,0
1420,0
1413,0
923,0
563,0
449,0
1114,0
564,0
1067,0
93,0
1236,0
285,0
264,0
700,0
1231,0
655,0
1028,0
22,0
890,0
5,0
810,1
570,0
651,0
785,0
263,0
48,1
626,0
460,0
707,0
732,1
552,0
352,0
672,0
852,0
149,0
457,0
1208,0
699,0
1136,0
267,0
1287,1
81,0
356,0
1432,0
1098,0
240,0
1243,0
491,1
614,0
1142,0
67,0
458,0
1395,0
1194,0
747,0
435,0
910,1
308,0
1372,0
817,0
1415,0
1252,1
486,0
311,0
1196,0
30,0
1369,0
282,0
1105,0
793,0
603,0
1373,0
1274,1
1106,0
111,0
461,0
860,0
1211,0
256,0
706,0
88,0
687,0
662,0
1270,0
1024,0
1182,0
503,0
1074,0
1408,0
249,1
1388,0
421,0
15,0
1427,0
545,0
237,0
171,0
1333,0
784,0
610,0
1361,0
79,0
