,attr1,attr2,attr3,attr4,attr5,attr6
200,0.0,0.5,1.0,0.0,0.6666666666666666,0.0
302,0.5,0.0,1.0,0.5,0.3333333333333333,0.0
88,1.0,0.0,0.0,0.0,0.0,1.0
548,1.0,1.0,1.0,1.0,0.0,0.0
248,0.0,1.0,1.0,0.0,0.6666666666666666,0.0
417,1.0,0.0,0.0,0.0,0.6666666666666666,1.0
242,0.0,1.0,0.0,1.0,1.0,0.0
419,1.0,0.0,0.0,0.0,1.0,1.0
511,1.0,1.0,0.0,0.0,0.3333333333333333,1.0
425,1.0,0.0,0.0,0.5,0.6666666666666666,1.0
273,0.5,0.0,0.0,0.0,0.6666666666666666,1.0
295,0.5,0.0,1.0,0.0,0.3333333333333333,1.0
545,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
215,0.0,0.5,1.0,1.0,0.3333333333333333,1.0
161,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
3,0.0,0.0,0.0,1.0,0.6666666666666666,1.0
42,0.0,1.0,1.0,1.0,0.3333333333333333,0.0
252,0.0,1.0,1.0,0.5,0.0,0.0
462,1.0,0.5,0.0,0.0,0.3333333333333333,0.0
37,0.0,1.0,1.0,0.5,0.3333333333333333,1.0
96,1.0,0.0,1.0,1.0,0.3333333333333333,1.0
343,0.5,0.5,1.0,0.0,0.3333333333333333,1.0
329,0.5,0.5,0.0,0.5,0.6666666666666666,1.0
125,0.0,0.0,0.0,0.0,0.0,1.0
291,0.5,0.0,0.0,1.0,1.0,1.0
101,1.0,0.5,1.0,0.0,0.0,0.0
211,0.0,0.5,1.0,0.5,1.0,1.0
41,0.0,1.0,1.0,1.0,0.0,0.0
122,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
546,1.0,1.0,1.0,0.5,1.0,0.0
395,0.5,1.0,1.0,0.0,1.0,1.0
392,0.5,1.0,1.0,0.0,0.6666666666666666,0.0
428,1.0,0.0,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,1.0,1.0,1.0
491,1.0,0.5,1.0,0.0,1.0,1.0
247,0.0,1.0,1.0,0.0,0.3333333333333333,1.0
224,0.0,1.0,0.0,0.0,0.6666666666666666,0.0
158,0.0,0.0,1.0,0.5,0.3333333333333333,0.0
206,0.0,0.5,1.0,0.5,0.3333333333333333,0.0
466,1.0,0.5,0.0,0.0,1.0,0.0
