,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
14755,0.01054759109037654,0.2388893915176372,0.5491267029762812,0.0026085333025303264,0.508890166080527,0.005095473740812809,0.0034974960309619913,0.01407160761164581,0.010689788845709175,0.4923475951790365,0.25888583703077694,0.42282716598413783,0.029636340729647256,0.004156937380660331
7472,0.010723969933442294,0.24054002432723137,0.5566774134450587,0.0026277487297626206,0.514386651522823,0.005152478298870591,0.0035301809251346928,0.024527980066149396,0.010804249459055358,0.503642482940335,0.26928656947672364,0.4311502947555226,0.029888999139386727,0.004245219083262815
11040,0.010649083551949328,0.24033294128290963,0.5546587541156508,0.002610939136509004,0.5166080526932779,0.005223740944828731,0.0035338086475523445,0.02814321522329162,0.010848898557815193,0.5019524696631296,0.26350869779561953,0.43006906784751536,0.029821597285930486,0.004220811459715141
9076,0.01042779883713909,0.23703368617871462,0.5493903785799528,0.0025788821798580553,0.513684196121899,0.005149643357416717,0.0034802599254264146,0.0201563264761282,0.010680064423352162,0.4934015376856493,0.25440664835551796,0.4208818006116414,0.02929946284999463,0.004095932316988133
13074,0.010524294547087133,0.232085808779919,0.5507070444190661,0.0025876931562474966,0.5128654250539386,0.005118264446618455,0.0034866128637090345,0.017872239443513273,0.01074215694120376,0.4959355283607284,0.25859567575181347,0.42315174482201917,0.029619457419376057,0.00415837888595013
1353,0.010703982926943306,0.228476934366738,0.5515853923715566,0.0025612602270791707,0.5102927961830217,0.005096891211539747,0.0035410640923876488,0.01958530471797447,0.010812006294009397,0.5010035097108864,0.27419959152052964,0.4308257159176413,0.030235993866439218,0.0042904235695351714
6383,0.010662386591989242,0.23724076922303647,0.5550970720022738,0.0026085333025303264,0.5099415684825597,0.005121127181615995,0.003509299400974548,0.01654109131898598,0.01074215694120376,0.49741351804773615,0.2637960419747869,0.42801621208065577,0.02973067704696028,0.0042236804750977516
12141,0.010570887633665947,0.24177649104818197,0.5550970720022738,0.0026501823504988596,0.5215206791010396,0.00523941650345603,0.003556495184817858,0.02890334158966518,0.010819800967182722,0.5003694974217521,0.26697654764420026,0.4284482813129004,0.029841830980730216,0.004187083034973227
4261,0.010532600835502297,0.23249796435356912,0.5492140241177568,0.0025949106581835287,0.5092391130816355,0.005081215652912448,0.003472101974038426,0.012358542337184614,0.010713059350571291,0.4927695838779733,0.25440664835551796,0.4216384486817673,0.0295352379494629,0.004159092640996536
8764,0.010557584593626034,0.23270504739789097,0.5493903785799528,0.002562869323831143,0.5111115672509821,0.005128242328794342,0.0034757296964560785,0.017494030227073618,0.010746054277790422,0.49815251289124013,0.25845200366222987,0.424125481335663,0.02962622388224739,0.004168427437387763
9579,0.01056423611364599,0.23198327251525475,0.5515853923715566,0.0026077209430050595,0.5139191081553248,0.005151060828143653,0.0034847901543967512,0.022629518116962958,0.010782908703376929,0.49984252616844554,0.26567504753855903,0.42444795251875284,0.029734027431488803,0.0041935348207848555
11520,0.010574197170456361,0.23744584175236486,0.5515853923715566,0.0026157351821677953,0.5142703358557869,0.005171016592495427,0.003540161585834965,0.017112113077139713,0.010705302515617254,0.4958305458063587,0.26350869779561953,0.42455755056790767,0.029605990187447664,0.0041906658054022446
14049,0.010632438528679877,0.24600460407933494,0.5527274159277187,0.0026077209430050595,0.5139191081553248,0.0051781317396737735,0.003524730493404756,0.016733903860700394,0.010777081617606578,0.49614755195092586,0.26018452003662235,0.4242329717300264,0.029727260968617466,0.004183486269347223
6678,0.010888700504863348,0.24146687173919598,0.5565027711621074,0.002612532610962414,0.5106440238834837,0.005106869093715633,0.0034847901543967512,0.017494030227073618,0.010784876290779906,0.5017425045543904,0.2721769138671737,0.4335277293602635,0.0300810221585413,0.0043255934995668835
2470,0.010650738320344537,0.23878685525297305,0.5514980712300809,0.00262615525530921,0.5101764805159855,0.005065540094285151,0.0034702792647261418,0.004942675348174928,0.01063931266117899,0.49055259934746137,0.25267413198112554,0.4218555371252853,0.029521770717534507,0.004191393555645638
9695,0.010550900627166957,0.2294037817787026,0.5493030574384771,0.0025804912766100277,0.5105277082164476,0.005099753946537285,0.003455750678848617,0.013882503003425983,0.010713059350571291,0.496464558095493,0.259319670399324,0.4216384486817673,0.029612756650319,0.004179903498918206
7423,0.010640777263534166,0.23394151411884156,0.5542187240497833,0.0026269519925359156,0.5100578841495956,0.005142500416694703,0.0035192800616748203,0.027001171706984156,0.010860552729355894,0.5004744799761216,0.26018452003662235,0.42855577170726356,0.02966327519350404,0.004202155862129676
1578,0.010833768683430249,0.2475506901092715,0.5573794069353533,0.002653384921704242,0.5135678804548627,0.005138220210970229,0.0035256329999574405,0.014642629369799542,0.010779049205009555,0.49815251289124013,0.2689992252975562,0.43006906784751536,0.029838480596201693,0.0042904235695351714
13624,0.01054759109037654,0.23105441458829679,0.5497413753251,0.002574086134199262,0.5119303383189421,0.0051624561810464775,0.0035183775551221362,0.017304925618854126,0.01073440010624972,0.4954085571074219,0.2622071976899783,0.424125481335663,0.029670041656375375,0.004156223625613925
4847,0.010555897378791704,0.23321973923620534,0.554044081766832,0.0025748828714259675,0.5141517394893972,0.0051838294161251856,0.0035546724755055738,0.023956958307995664,0.010813973881412371,0.500052491277185,0.263218536516656,0.4292049293830261,0.029582406108119408,0.00417487922319939
9839,0.0105658908820412,0.2301255566613388,0.5536930850216848,0.00258369384781541,0.5107603395505197,0.005105451622988697,0.0034757296964560785,0.015020838586238861,0.01071498909975498,0.4951965335172244,0.25859567575181347,0.4227196755897745,0.0295958733400478,0.004179189743871801
9190,0.01059583894535056,0.23940609387094502,0.5493903785799528,0.002612532610962414,0.5142703358557869,0.005108286564442568,0.0034757296964560785,0.017494030227073618,0.010746054277790422,0.49836453648143764,0.25989717585745464,0.4233688332655371,0.029579055723590878,0.00417056870252698
9148,0.010489349732153024,0.23816761663500105,0.5462296956943828,0.002590098990226174,0.5139191081553248,0.005118264446618455,0.003490240586126687,0.017304925618854126,0.010687821258306201,0.4958305458063587,0.2581618423832664,0.4233688332655371,0.02942408401569296,0.00412894698668364
5552,0.010590842193725813,0.23569468319309989,0.5534294094180132,0.0026269519925359156,0.5114627949514441,0.005135385269516355,0.0035347111541050294,0.015973777494326834,0.010697545680663214,0.4959355283607284,0.25845200366222987,0.4229367640332925,0.029599289418390615,0.004159806396042942
13065,0.010510991507047223,0.23105441458829679,0.5493903785799528,0.0025804912766100277,0.5132166527544006,0.005135385269516355,0.0034911430926793706,0.018254156593447177,0.01072857302047937,0.49371854383021646,0.25729699274596807,0.42380090249778174,0.02955547164426263,0.00415119934989511
11718,0.010880361770009063,0.24981855102184422,0.5664248498846847,0.002740713570670521,0.534034876454516,0.0053890847360943284,0.003650869056297562,0.04506622369221184,0.011033246362186302,0.5138813697135622,0.28763434044651026,0.4416337696881303,0.03032021333635238,0.004331345525529094
159,0.01112163349131829,0.26301557143862403,0.5550970720022738,0.002679833473171132,0.5111115672509821,0.005045584329933377,0.0034974960309619913,0.011409311362591225,0.010685891509122513,0.49245257773340617,0.270154236213818,0.43309566012801887,0.0300979054688125,0.004359335919505785
24,0.010677376846863483,0.2366215306050645,0.551321716767885,0.002622952684103829,0.5132166527544006,0.005051282006384789,0.0035410640923876488,0.023389644483336518,0.010868309564309933,0.49941847898805064,0.26350869779561953,0.424125481335663,0.02983171413333035,0.0042165009390427305
4878,0.010525949315482341,0.23260050061823337,0.5494776997214283,0.0025508401539377557,0.5118140226519061,0.005146780622419179,0.0035347111541050294,0.017112113077139713,0.010732470357066032,0.49625253450529555,0.2616296922318474,0.42434046212438953,0.02959252295551927,0.004162675411425554
5849,0.01066407380682357,0.24146687173919598,0.5550970720022738,0.0026501823504988596,0.5154380539248555,0.005205230444747561,0.0035410640923876488,0.017494030227073618,0.0107499137761578,0.4988915077347441,0.2622071976899783,0.4271520736161665,0.029670041656375375,0.004211476663323914
4340,0.010525949315482341,0.23425113342782755,0.5515853923715566,0.0026037216345729717,0.5123978816864404,0.005136802740243291,0.0035129271233922004,0.01483173397801937,0.01073440010624972,0.4898136045039574,0.25050496513839016,0.4253141986380334,0.029235411381066917,0.004143306058793683
236,0.010610829200224802,0.2226001990409843,0.5485120306274623,0.002532421463932167,0.5095903407820975,0.0050983086822666834,0.003551044753087922,0.023956958307995664,0.010841141722861153,0.5005815210119495,0.27405310233115,0.43093320631200466,0.03015512478105459,0.004222966720051346
1056,0.010607487216995264,0.2393035576062809,0.5516727135130323,0.0026037216345729717,0.5145029671898592,0.005054144741382327,0.0035601229072355096,0.017304925618854126,0.010761567947698501,0.4979404893010427,0.2627847031481089,0.42682749477828524,0.029686859272832298,0.004184214019590616
14703,0.010567545650436405,0.23909647456195904,0.5489503485140852,0.0025868964190207916,0.5116954262855162,0.005131105063791879,0.003513829629944884,0.01882517835160091,0.010730540607882347,0.492874566432343,0.25989717585745464,0.42218011596316657,0.029609406265790478,0.004162675411425554
8448,0.010492691715382562,0.22806477879308787,0.548599351768938,0.0025868964190207916,0.5107603395505197,0.005112566770167043,0.003487515370261719,0.015591860344392593,0.01063931266117899,0.49445753867372044,0.25773082611451514,0.4230442544276558,0.02947125217434947,0.00413325750735605
13536,0.01052760408387755,0.23260050061823337,0.5490393818348055,0.002575679608652673,0.5127491093869024,0.005132522534518817,0.0034838876478440663,0.011598415970811052,0.010666480502627772,0.4934015376856493,0.25859567575181347,0.42120637944952266,0.029589172570990748,0.004136126522738661
12270,0.010505994755422474,0.24404636247574812,0.5499160176080513,0.002652588184477537,0.5176617357946641,0.005193807298301073,0.003523827986852072,0.026241045340610596,0.010751881363560773,0.49361356127584677,0.25440664835551796,0.4227196755897745,0.029333098082908463,0.004113160404480787
5614,0.010570887633665947,0.2389939382972948,0.5519363891167038,0.0026285610892878876,0.5126327937198663,0.0051339400052457535,0.0035319859382400612,0.017872239443513273,0.010724713522111996,0.49857450159017697,0.259319670399324,0.42574626787027803,0.029609406265790478,0.004161247901332741
9933,0.010629128991889461,0.23940609387094502,0.5545697207949306,0.0026045183717996767,0.5119303383189421,0.005138220210970229,0.003476632203008762,0.018443261201667005,0.010732470357066032,0.4987865251803744,0.2513726318754843,0.4247725313566341,0.029673392040903905,0.004204311122465881
5087,0.010705670141777637,0.24311750454879016,0.5544823996534549,0.0026349662316986528,0.5183619104962347,0.0051781317396737735,0.003509299400974548,0.009696246088130028,0.010670377839214434,0.49994750872281524,0.26394253116416655,0.4284482813129004,0.029686859272832298,0.004208607647941303
