,id,start,end,event,size
1703,0.11399217221135029,0.12461181575724546,0.1376417182807426,0.0,0.00032357223750202233
10630,0.7018101761252447,0.061863110216922194,0.08924283981866571,1.0,0.018767189775117293
2788,0.15459882583170254,0.0,0.1633453246193038,0.0,0.00347840155314674
10682,0.702054794520548,0.37595288571415403,0.39871059763809646,1.0,0.054441028959715254
1090,0.09466731898238748,0.15265122859064342,0.1696743226415555,1.0,0.03162918621582268
2280,0.1284246575342466,0.13062710290474241,0.15993665915176572,0.0,0.007442161462546513
3120,0.263454011741683,0.0,0.28210738033808913,0.0,0.0012942889500080893
10227,0.7717710371819961,0.5908774974274711,0.6152338504236288,1.0,0.031710079275198186
14430,0.9332191780821918,0.682345306370396,0.8704269657434461,1.0,0.000970716712506067
108,0.011252446183953033,0.04376500428456037,0.053746632537621984,0.0,0.00493447662190584
7866,0.5870841487279843,0.3253172188106798,0.3319504016538208,1.0,0.021436660734508978
13194,0.8808708414872799,0.6635070701648621,0.7852734053895676,0.0,0.0030739362562692122
8152,0.5983365949119374,0.0,0.38075215476897784,0.0,0.002103219543763145
7998,0.5826810176125244,0.0,0.07488483482139224,1.0,0.0022650056625141564
14931,0.9708904109589042,0.00031397914010691683,0.09874244101345357,0.0,0.002507684840640673
12651,0.8605675146771037,0.03486602617653823,0.12753271830515925,1.0,0.00347840155314674
9732,0.7407045009784736,0.18579625980672612,0.18838306868402419,1.0,0.18783368386992397
10976,0.7106164383561644,0.10677902988128721,0.1816328835244614,1.0,0.005419834978158874
6631,0.49902152641878667,0.0,0.001203537158065225,0.0,0.0020223264843876394
9219,0.6704990215264188,0.0,0.007102700481007919,1.0,0.05605889014722537
3763,0.30259295499021527,0.13199570365900942,0.27445734005062383,0.0,0.004691797443779323
9520,0.726027397260274,0.8796440613637143,0.9999247153426062,0.0,0.002103219543763145
1251,0.22064579256360078,0.0,0.030688162810193136,1.0,0.0022650056625141564
2226,0.1267123287671233,0.0,0.01102258946665907,0.0,0.0028312570781426952
14103,0.1969178082191781,0.47136412924057514,0.5233036535440762,1.0,0.011405921371946287
9877,0.7561154598825832,0.0,0.00013836099196692358,1.0,0.005743407215660896
2119,0.12255381604696673,0.07439820237978774,0.171183067870136,0.0,0.006471444750040446
11100,0.7159980430528375,0.2901407989002023,0.3273560028323309,1.0,0.018767189775117293
14310,0.9256360078277887,0.4570967736978701,0.472981964237753,1.0,0.005986086393787413
2735,0.2580724070450098,0.0,0.006476006576216559,0.0,0.0004853583562530335
344,0.027641878669275928,0.3664740962087403,0.3733071125688753,0.0,0.006795016987542469
14056,0.19545009784735812,0.0,0.7874164747247023,0.0,0.004287332146901796
8381,0.6157045009784736,0.0,0.15244939650190856,0.0,0.0025885779000161787
12183,0.8414872798434442,0.0,0.21406581913776684,1.0,0.0012942889500080893
11397,0.7795988258317026,0.25809495077493433,0.30802412364589354,1.0,0.2434881087202718
3355,0.29427592954990217,0.0,0.9457955553566051,0.0,0.01609771881572561
9722,0.7402152641878669,0.0,0.10636399521433745,1.0,0.002912150137518201
14623,0.9466731898238747,0.0,0.0003845621688492435,1.0,0.0521760232972011
4730,0.34980430528375733,0.4779776670171828,0.6808245908177135,0.0,0.00347840155314674
8856,0.6467710371819961,0.38717110941174243,0.6154739474391008,0.0,0.012619317262578872
637,0.0437866927592955,0.3458841329898856,0.3531481195113415,1.0,0.025804885940786282
8845,0.6460371819960861,0.0,0.024757461319963862,0.0,0.00032357223750202233
14669,0.9474070450097848,0.7055710553233294,0.8704259483832111,1.0,0.004449118265652807
3710,0.33096868884540115,0.0,0.680825099497831,0.0,0.002103219543763145
13653,0.16756360078277888,0.0,0.08330094736585088,0.0,0.002103219543763145
111,0.01149706457925636,0.0,0.0014904327443495812,1.0,0.004044652968775279
9267,0.6717221135029354,0.07731467419670256,0.15123009026020007,1.0,0.079679663484873
3332,0.2913405088062622,0.040321989961887135,0.056748862591257214,1.0,0.0144798576282155
8800,0.6435909980430529,0.321911595152326,0.4405062994945754,1.0,0.16453648276977836
14240,0.9195205479452054,0.8796430369619522,0.9170073127853695,0.0,0.003154829315644718
1591,0.11081213307240705,0.0012313309181354454,0.00838050493623186,0.0,0.0024267917812651673
3157,0.28131115459882583,0.34655306734058644,0.5223239356377221,1.0,0.04740333279404627
5487,0.4097358121330724,0.5213318861951106,0.5324186925700147,1.0,0.04190260475651189
6787,0.511252446183953,0.3845691289358156,0.7231060821864292,1.0,0.00024267917812651675
14170,0.913160469667319,0.6689210334779618,0.70773376903481,0.0,0.0011325028312570782
2892,0.26785714285714285,0.6588619203742754,0.6606157471086622,1.0,0.06657498786604109
15474,0.20865949119373778,0.21613699119885227,0.24169681444163202,0.0,0.0056625141562853904
5113,0.41169275929549903,0.3157062814779454,0.3235292023081869,1.0,0.003154829315644718
5273,0.4229452054794521,0.0,0.010724502917789154,1.0,0.11179420805694872
8688,0.6264677103718199,0.5384071269679398,0.5376769189448753,1.0,0.004772690503154829
1488,0.23409980430528377,5.122008810879556e-07,0.4843362131410387,0.0,0.0021841126031386508
5177,0.4163405088062622,0.5450780312432294,0.6329394792743372,0.0,0.00347840155314674
5447,0.4315068493150685,0.1239941014946534,0.12355941790716791,1.0,0.000970716712506067
4543,0.38551859099804303,0.5395211638843062,0.7658718370270292,0.0,0.002912150137518201
1189,0.21697651663405088,0.0,3.5607608226781806e-06,1.0,0.0012942889500080893
8239,0.6105675146771037,0.09761114631069388,0.42167750494437073,1.0,0.11422099983821388
766,0.051614481409001954,5.634209691967512e-05,0.06746268322657833,0.0,0.010758776896942242
8024,0.5929549902152642,0.3331241846402224,0.37849564976763495,1.0,0.015127002103219545
1394,0.22602739726027396,0.06334388296414747,0.11257904889026346,1.0,0.0840478886911503
2947,0.27299412915851273,0.0,0.02561611335834683,1.0,0.0020223264843876394
12325,0.8522504892367906,0.04542146193399882,0.06123338650736162,0.0,0.037049021193981554
15527,0.21330724070450097,0.8796415003593089,0.917005786745017,0.0,0.013347354796958422
12692,0.862279843444227,0.0,0.009238139614379777,1.0,0.008574664293803592
7399,0.5459882583170255,0.4260707175268483,0.42619814514881943,0.0,0.013590033975084938
12114,0.848091976516634,0.1968966773016643,0.46613360381550784,1.0,0.045785471606536156
14830,0.962573385518591,0.7095042458892038,0.7480380207867043,0.0,0.0046109043844038185
1226,0.21844422700587085,0.6530202693254673,0.7243960949644738,1.0,0.02839346384080246
11988,0.8351272015655578,0.7091518516830153,0.7090924536287205,1.0,0.19923960524187026
6433,0.47847358121330724,0.6432664279469094,0.9353197970162859,0.0,0.05306584695033166
1180,0.10102739726027397,0.003191011489177964,0.04952509624227824,1.0,0.003235722375020223
5679,0.44129158512720157,0.0914611503314708,0.09594164828635841,1.0,0.005338941918783369
3481,0.31702544031311153,8.143994009298495e-05,0.00012513530891126176,1.0,0.020546837081378416
6174,0.46110567514677103,0.12545950821544602,0.14792621289687222,1.0,0.0020223264843876394
1103,0.09540117416829745,0.0,0.003149238607600088,0.0,0.0016178611875101116
14024,0.19324853228962818,0.1075867706707629,0.1499243083985122,1.0,0.005824300275036402
14540,0.9434931506849316,0.06253665437555286,0.08330043868573335,0.0,0.0006471444750040447
15502,0.212573385518591,4.917128458444374e-05,0.019597410207785656,1.0,0.023297201100145607
5298,0.42367906066536204,0.4866533255410506,0.5970353105390381,1.0,0.0810548454942566
5181,0.41682974559686886,0.0,0.02213572399423767,1.0,0.0016178611875101116
10265,0.7722602739726028,0.4521796452394257,0.4492286374697844,1.0,0.052095130237825596
2845,0.14726027397260275,0.0,0.42032899395281076,0.0,0.0007280375343795502
14360,0.9290606653620352,0.0,0.2766751853630348,0.0,0.003640187671897751
3050,0.26125244618395305,0.016734627186905687,0.8298358184052674,0.0,0.0012942889500080893
4657,0.34637964774951074,0.4304413276451718,0.5462400400432988,1.0,0.11122795664132018
2734,0.14579256360078277,0.87964201256019,0.9170062954251345,0.0,0.0043682252062773015
12434,0.8551859099804305,0.15291859745057135,0.16099623983657124,1.0,0.021436660734508978
11654,0.7925636007827789,0.20722008605999204,0.5251730529759822,1.0,0.1621096909885132
5011,0.4060665362035225,0.0,0.12476600714593829,1.0,0.010920563015693253
10515,0.6947162426614482,0.1207067962398309,0.12252527122823867,1.0,0.007765733700048536
14858,0.9655088062622309,0.5978618686419864,0.6371630502901512,0.0,0.020223264843876397
8834,0.6453033268101761,0.3593811384074343,0.3934584754246462,1.0,0.0608315806503802
