,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72
2455,0.22666666666666666,0.16883116883116883,0.4084507042253521,0.013698630136986302,0.09722222222222221,0.24324324324324323,0.5135135135135135,0.4,0.24175824175824173,0.5357142857142857,0.67816091954023,0.6091954022988506,0.6444444444444444,0.5729166666666667,0.5333333333333334,0.5955056179775281,0.4352941176470588,0.3670886075949367,0.10666666666666667,0.11267605633802819,0.06896551724137931,0.08602150537634408,0.05194805194805195,0.06024096385542168,0.5795454545454547,0.38333333333333336,0.7287066246056783,0.7556270096463023,0.7643312101910827,0.7556270096463023,0.7699680511182108,0.779874213836478,0.6363636363636365,0.5896656534954409,0.5585585585585585,0.5428571428571428,0.5425531914893617,0.5180412371134021,0.4887780548628428,0.47524752475247534,0.4688279301745636,0.47222222222222227,0.4864197530864197,0.49382716049382713,0.4421052631578948,0.39722222222222225,0.372093023255814,0.36201780415430274,0.38823529411764707,0.37538461538461537,0.49373433583959897,0.5315315315315314,0.620253164556962,0.797979797979798,0.6653073113894553,0.43219076005961254,0.43127147766323026,0.5402298850574713,0.8080808080808082,0.703381869422264,0.48374644453474197,0.49696969696969695,0.5974025974025974,0.9595959595959596,0.6508379888268156,0.5366069845772027,0.5567010309278351,0.8708860759493671,0.7718411552346571,0.32,0.4,0.0014527845036319614
1762,0.21869053333333335,0.2060196103896104,0.21768732394366197,0.20909657534246576,0.21147555555555556,0.2084347297297297,0.2213372972972973,0.27295026666666666,0.26802604395604396,0.3271080952380952,0.341352643678161,0.33521999999999996,0.33823866666666663,0.32361239583333334,0.3419708888888889,0.36303426966292135,0.35209411764705884,0.34614708860759497,0.3415124,0.32192084507042257,0.2401786206896552,0.20842752688172042,0.2342603896103896,0.2058479518072289,0.3831922727272728,0.3191581666666667,0.6450875394321767,0.6574871382636657,0.65799,0.6630649196141478,0.6648983706070287,0.6627528930817611,0.651704263322884,0.6449186018237083,0.651014984984985,0.6404840857142857,0.629322659574468,0.6106585824742269,0.5916519950124688,0.5825019059405941,0.5786803241895262,0.5813169949494951,0.5875933827160494,0.5983234567901236,0.5976237368421052,0.5923794722222222,0.593469534883721,0.6033112166172108,0.6147837352941176,0.6234541538461538,0.5984545864661655,0.6168313213213212,0.5158227848101264,0.8181818181818181,0.6594815030585495,0.5134128166915052,0.647766323024055,0.42911877394636017,0.18181818181818182,0.5843118835133866,0.5605444941080862,0.6272727272727273,0.3852813852813853,0.1717171717171717,0.47852653631284914,0.529870590320865,0.5670103092783505,0.6886075949367089,0.8274368231046932,0.5866666666666667,0.4,0.0
1108,0.29333333333333333,0.28571428571428575,0.2676056338028169,0.15068493150684933,0.19444444444444442,0.21621621621621623,0.18918918918918917,0.18666666666666665,0.16483516483516483,0.25,0.2988505747126437,0.37931034482758613,0.4222222222222222,0.3125,0.25555555555555554,0.30337078651685395,0.047058823529411764,0.3291139240506329,0.3333333333333333,0.323943661971831,0.1724137931034483,0.15053763440860213,0.16883116883116883,0.14457831325301204,0.34090909090909094,0.26666666666666666,0.45425867507886436,0.4630225080385852,0.4777070063694267,0.4983922829581993,0.5143769968051118,0.5283018867924528,0.5172413793103449,0.5015197568389058,0.49549549549549554,0.5,0.5425531914893617,0.5515463917525775,0.5386533665835411,0.5297029702970297,0.5187032418952618,0.5075757575757577,0.4716049382716049,0.5283950617283951,0.5342105263157895,0.5416666666666666,0.5494186046511629,0.566765578635015,0.5911764705882352,0.6,0.5162907268170427,0.5135135135135134,0.43670886075949367,0.6666666666666667,0.6632682784736382,0.5519125683060109,0.7096219931271478,0.46743295019157083,0.29292929292929293,0.601690934711132,0.5501828524989841,0.656060606060606,0.45454545454545453,0.22222222222222224,0.5965432960893855,0.5208296401347279,0.6185567010309279,0.569113924050633,0.6700361010830325,0.72,0.38181818181818183,0.020823244552058112
524,0.14666666666666667,0.05194805194805195,0.05633802816901409,0.10958904109589042,0.16666666666666666,0.17567567567567569,0.09459459459459459,0.29333333333333333,0.2087912087912088,0.20238095238095236,0.26436781609195403,0.264367816091954,0.26666666666666666,0.21875000000000003,0.2111111111111111,0.2247191011235955,0.18823529411764706,0.13924050632911394,0.10666666666666667,0.08450704225352113,0.14942528735632185,0.01075268817204301,0.1038961038961039,0.13253012048192772,0.18181818181818182,0.16666666666666666,0.7697160883280758,0.7942122186495177,0.7929936305732485,0.8070739549839229,0.8115015974440893,0.8144654088050315,0.8119122257053292,0.8054711246200609,0.8138138138138138,0.8,0.7792553191489362,0.7577319587628867,0.7356608478802992,0.7326732673267328,0.7356608478802992,0.7424242424242425,0.7506172839506172,0.7728395061728395,0.8052631578947368,0.8083333333333332,0.8197674418604651,0.8160237388724036,0.8176470588235293,0.8276923076923076,0.736842105263158,0.7927927927927927,0.7373417721518986,0.787878787878788,0.5927759976696767,0.45951316443119716,0.647766323024055,0.6819923371647509,0.7272727272727273,0.43330201972757165,0.4731816334823242,0.7545454545454545,0.761904761904762,0.6767676767676768,0.32856145251396646,0.5187023577379897,0.8041237113402062,0.8931645569620253,0.7696750902527076,0.44,0.45454545454545453,0.0
2391,0.05333333333333334,0.03896103896103896,0.14084507042253522,0.0958904109589041,0.08333333333333333,0.09459459459459459,0.08108108108108107,0.14666666666666667,0.21978021978021978,0.19047619047619047,0.18390804597701152,0.1494252873563218,0.16666666666666666,0.10416666666666667,0.2111111111111111,0.28089887640449435,0.2823529411764706,0.05063291139240506,0.17333333333333334,0.323943661971831,0.2873563218390805,0.2903225806451613,0.38961038961038963,0.24096385542168672,0.25000000000000006,0.18333333333333335,0.8675078864353313,0.8810289389067525,0.8821656050955414,0.8971061093247589,0.8977635782747603,0.8962264150943396,0.8934169278996865,0.8966565349544073,0.912912912912913,0.8771428571428571,0.8430851063829786,0.8247422680412372,0.8129675810473815,0.801980198019802,0.7880299251870324,0.7954545454545456,0.7901234567901234,0.7876543209876544,0.8052631578947368,0.825,0.7965116279069768,0.795252225519288,0.7999999999999999,0.803076923076923,0.7919799498746867,0.8468468468468467,0.7721518987341771,0.7171717171717171,0.5429653364404311,0.37183308494783907,0.6460481099656358,0.7586206896551724,0.41414141414141414,0.341709722874589,0.3925233644859813,0.7772727272727272,0.8441558441558441,0.15151515151515152,0.35841480446927376,0.4488565857117532,0.8350515463917526,0.8005063291139242,0.7256317689530686,0.41333333333333333,0.43636363636363634,0.0014527845036319614
2226,0.05333333333333334,0.025974025974025976,0.11267605633802819,0.21917808219178084,0.2916666666666667,0.3918918918918919,0.22972972972972971,0.28,0.39560439560439564,0.41666666666666663,0.4252873563218391,0.4942528735632184,0.6111111111111112,0.6458333333333334,0.7000000000000001,0.6629213483146068,0.611764705882353,0.569620253164557,0.5733333333333334,0.619718309859155,0.4597701149425288,0.4408602150537634,0.6103896103896104,0.6144578313253011,0.6363636363636365,0.55,0.2965299684542587,0.28617363344051444,0.30891719745222923,0.3922829581993569,0.4600638977635782,0.5,0.49216300940438873,0.47720364741641336,0.48048048048048053,0.46,0.44148936170212766,0.43041237113402064,0.41396508728179543,0.40099009900990107,0.3890274314214464,0.388888888888889,0.3950617283950617,0.4074074074074074,0.3973684210526316,0.3944444444444445,0.41279069767441867,0.45103857566765587,0.49117647058823527,0.5138461538461538,0.38596491228070184,0.4054054054054054,0.550632911392405,0.010101010101010102,0.3772210894261579,0.5126676602086437,0.6752577319587629,0.5900383141762452,0.010101010101010102,0.4302489431658056,0.5725314912637139,0.6803030303030303,0.42424242424242425,0.16161616161616163,0.4313896648044693,0.529870590320865,0.6597938144329897,0.06886075949367093,0.2628158844765343,0.72,0.6181818181818182,0.0
512,0.12000000000000001,0.22077922077922077,0.15492957746478875,0.2602739726027397,0.09722222222222221,0.013513513513513514,0.10810810810810811,0.3466666666666667,0.34065934065934067,0.35714285714285715,0.25287356321839083,0.20689655172413787,0.2777777777777778,0.2604166666666667,0.3555555555555555,0.38202247191011235,0.5294117647058824,0.5569620253164557,0.56,0.39436619718309857,0.24137931034482762,0.1935483870967742,0.24675324675324672,0.21686746987951805,0.4431818181818183,0.31666666666666665,0.8517350157728707,0.864951768488746,0.8630573248407644,0.8681672025723473,0.8753993610223642,0.8647798742138365,0.8808777429467084,0.8905775075987843,0.8798798798798799,0.8428571428571429,0.8111702127659575,0.7706185567010311,0.7630922693266832,0.7475247524752476,0.7381546134663342,0.744949494949495,0.7407407407407407,0.7506172839506173,0.7605263157894736,0.7583333333333333,0.7616279069767442,0.7774480712166173,0.7941176470588235,0.8184615384615384,0.7393483709273183,0.8138138138138137,0.7879746835443037,0.48484848484848486,0.42819691232158463,0.5792349726775956,0.647766323024055,0.8122605363984675,0.24242424242424243,0.2837012682010333,0.3878504672897196,0.8045454545454546,0.6147186147186148,0.5555555555555556,0.4057262569832403,0.2616557347987945,0.8247422680412371,0.7382278481012658,0.8072202166064981,0.44,0.5272727272727272,0.0
2506,0.13333333333333333,0.1038961038961039,0.08450704225352113,0.0821917808219178,0.11111111111111112,0.13513513513513511,0.13513513513513511,0.10666666666666667,0.054945054945054944,0.03571428571428572,0.19540229885057472,0.18390804597701146,0.23333333333333334,0.19791666666666666,0.2111111111111111,0.2584269662921348,0.19999999999999998,0.21518987341772153,0.3733333333333333,0.45070422535211274,0.20689655172413796,0.17204301075268816,0.1818181818181818,0.25301204819277107,0.2727272727272728,0.18333333333333335,0.4321766561514196,0.45016077170418006,0.464968152866242,0.47909967845659157,0.48881789137380194,0.49685534591194963,0.4858934169278997,0.4589665653495441,0.4504504504504505,0.42857142857142855,0.4202127659574468,0.3969072164948454,0.38653366583541143,0.3787128712871287,0.37406483790523687,0.37121212121212127,0.3827160493827161,0.4024691358024692,0.4052631578947368,0.39722222222222225,0.3982558139534884,0.4213649851632048,0.45294117647058824,0.4707692307692307,0.3709273182957394,0.41141141141141135,0.5727848101265823,0.9393939393939393,0.7547334692688611,0.38872329855936416,0.5859106529209622,0.5478927203065134,0.8181818181818181,0.7040864255519023,0.5178789110117838,0.6333333333333333,0.5194805194805194,0.48484848484848486,0.6517108938547486,0.4697748626130119,0.6288659793814433,0.8860759493670886,0.8187725631768954,0.5866666666666667,0.4,0.0
398,0.36000000000000004,0.3636363636363636,0.35211267605633806,0.35616438356164387,0.2916666666666667,0.24324324324324323,0.22972972972972971,0.24000000000000002,0.25274725274725274,0.35714285714285715,0.4252873563218391,0.425287356321839,0.4666666666666667,0.5,0.4555555555555556,0.5393258426966292,0.5058823529411764,0.49367088607594933,0.4533333333333333,0.4366197183098592,0.31034482758620696,0.3440860215053763,0.4025974025974026,0.3975903614457831,0.4545454545454546,0.46666666666666673,0.7066246056782335,0.7363344051446946,0.7484076433121019,0.7684887459807074,0.7827476038338658,0.779874213836478,0.7648902821316614,0.7325227963525837,0.7117117117117118,0.6828571428571428,0.648936170212766,0.6237113402061856,0.6159600997506234,0.603960396039604,0.600997506234414,0.6237373737373738,0.6320987654320988,0.6271604938271605,0.6157894736842104,0.6166666666666667,0.625,0.6617210682492582,0.6823529411764706,0.6984615384615385,0.6190476190476191,0.6726726726726725,0.6930379746835442,0.4444444444444445,0.7317215263617827,0.5151515151515151,0.563573883161512,0.6398467432950191,0.030303030303030304,0.5784405824330672,0.4211702559934986,0.6424242424242425,0.5454545454545455,0.0202020202020202,0.47695530726256985,0.4013472788512675,0.6494845360824743,0.4607594936708861,0.7306859205776174,0.4533333333333333,0.43636363636363634,0.0
1869,0.21869053333333335,0.2060196103896104,0.21768732394366197,0.20909657534246576,0.21147555555555556,0.2084347297297297,0.2213372972972973,0.27295026666666666,0.26802604395604396,0.3271080952380952,0.341352643678161,0.33521999999999996,0.33823866666666663,0.32361239583333334,0.3419708888888889,0.36303426966292135,0.35209411764705884,0.34614708860759497,0.3415124,0.32192084507042257,0.2401786206896552,0.20842752688172042,0.2342603896103896,0.2058479518072289,0.3831922727272728,0.3191581666666667,0.33438485804416407,0.33118971061093244,0.3503184713375796,0.36655948553054657,0.3738019169329073,0.38364779874213834,0.37931034482758624,0.36778115501519765,0.3423423423423424,0.3114285714285714,0.3164893617021276,0.35051546391752586,0.40149625935162087,0.452970297029703,0.4987531172069825,0.542929292929293,0.5703703703703703,0.5950617283950618,0.5710526315789474,0.5333333333333333,0.497093023255814,0.47774480712166184,0.4588235294117647,0.43999999999999995,0.5513784461152882,0.41741741741741734,0.6234177215189873,0.30303030303030304,0.4643169239732013,0.3760556383507203,0.45017182130584193,0.524904214559387,0.47474747474747475,0.6343353687177078,0.5668427468508737,0.4954545454545455,0.4935064935064935,0.04040404040404041,0.6995460893854748,0.7291260414820067,0.5257731958762887,0.5711392405063291,0.644043321299639,0.41333333333333333,0.6545454545454545,0.0
