,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
86,0.0,0.48044692737430167,0.5677179962894249,0.5687972530652738,0.009835700574275736,0.3511998079744823,0.896603098330204,0.6842934343099895,0.9995263189653438,0.43887258192163975,0.29898555346846545,0.3369112028719195,0.17947560986590602,0.22863737167972867,0.18811169577376563,0.8439745469203418,0.3906470503984784,0.2832751557146212,0.500323795625406,0.3069306138131984
304,0.5,0.6927374301675978,0.6419294990723562,0.6428904606612746,0.6626917344812162,0.3812309116893525,0.45708586234051973,0.5865395227689115,0.7078886497576282,0.449286222337985,0.901252690049007,0.9817838421446767,0.9588913911935993,0.8773293327847631,0.9488318681076002,0.08351165061978208,0.8782930681685017,0.6441336285370755,0.22444892186566334,0.2985315071563511
110,0.0,0.6145251396648045,0.01855287569573284,0.015578402095310126,0.9244485408421774,0.7290311047191878,0.5949036455776355,0.706353984183267,0.9257195727819458,0.1707987297262099,0.6496623038993261,0.0,0.6965592587664315,0.9192056435832339,0.18040043926657737,0.0544186923309863,0.5731178067812941,0.7375403212046883,0.25986525697962237,0.9670459639460793
487,1.0,0.7094972067039106,0.5083487940630798,0.5097969390897519,0.3443367747085997,0.7614334021960408,0.7277829766172453,0.4119223491119392,0.8065319709556087,0.18080163492651846,0.6536263218842969,0.07079550204958092,0.5853822273224328,0.6349753645148666,0.24563995800065447,0.9111418389509128,0.7137155293898478,0.23238362301705986,0.1786471048066885,0.7265267282507765
510,1.0,0.8379888268156425,0.29313543599257885,0.2931187198626132,0.3150814075472228,0.9969960861744639,0.7785381219654418,0.12267800848027324,0.17723615664661987,0.7821149858246261,0.5985113804541718,0.7125534199280016,0.8798426849607263,0.2538769530270037,0.42374167591843453,0.5377243839781166,0.12704635209725734,0.7229112762878196,0.9974817007928237,0.4180131519964138
156,0.0,0.8715083798882681,0.7755102040816326,0.7770352485171428,0.48647553561291845,0.7456184135598939,0.31346497195632433,0.5134066979309017,0.05780517730353803,0.7253513789683533,0.5063429318239212,0.20875951483728164,0.13309848797876586,0.24668901086771094,0.007342858806311144,0.3007341925987129,0.5626302679325296,0.8526396714486729,0.7829418258870349,0.6710439947488073
508,1.0,0.8268156424581006,0.11131725417439703,0.1118886379982606,0.586207553641526,0.25693958326847116,0.9217191704923222,0.6715639943571868,0.6162047187078867,0.27435509562116184,0.730875373890402,0.6702184715910743,0.3007004341070691,0.06270558839171926,0.8421531289713171,0.9926089406649647,0.7469269037271777,0.1798109946666613,0.9102140254051949,0.6245067000736448
55,0.0,0.30726256983240224,0.19480519480519481,0.19422144603282396,0.4616280305932712,0.7101147834540691,0.8810443188262334,0.32375941388589563,0.2969085021220106,0.949051802726881,0.988525475858225,0.16421609169130275,0.677270057817579,0.19941496994571162,0.07642696390104056,0.1220251763285557,0.7566011600293664,0.22050153857888705,0.3279684351813205,0.5563962889436778
524,1.0,0.9162011173184358,0.14100185528756956,0.1409760124707466,0.7122844460134673,0.29757025452419955,0.3963796706897001,0.39689223872390555,0.37509202083794274,0.30312559481471835,0.9477614868488171,0.8325819707053786,0.2450148720939888,0.5124120698824922,0.100510336215602,0.5758979871370901,0.7900679371368649,0.49903851365049673,0.11034174201045555,0.5167731981044476
522,1.0,0.9050279329608939,0.3246753246753247,0.3223475337874777,0.9869298613353766,0.8844100789293171,0.048874545880815884,0.9811300877124333,0.9985809682804675,0.09277005840454412,0.1495149108448087,0.6939823823257857,0.2912559290781703,0.083196692523055,0.058333316603192506,0.7750374516437611,0.27882370498275777,0.15295762434587817,0.8621711622711535,0.12379726873939356
205,0.5,0.13966480446927373,0.8812615955473099,0.8819973658155891,0.3918664663488058,0.054175902203573156,0.11602607390545504,0.018476600987692972,0.24492728845264194,0.6734875427014356,0.16727954677390308,0.5059632829785037,0.507906271291406,0.50645941416716,0.8072195911287424,0.5506123619503333,0.1475837395572818,0.3423844861467682,0.11969628270611067,0.9174568137427557
440,1.0,0.44692737430167595,0.849721706864564,0.8507141689228432,0.623773170110382,0.9033505038159045,0.712443617083097,0.9183598116119142,0.3327433272321339,0.16684565372015908,0.772609239381412,0.8413146189403532,0.16012838123785045,0.8431798340240635,0.09038893562174892,0.543826946332346,0.34612383729140855,0.06576546557818651,0.33319520722419566,0.5800506708078511
520,1.0,0.8938547486033519,0.5287569573283859,0.5289644926787529,0.5158081281178479,0.7689939047967211,0.5394414910138005,0.7021389311966094,0.3237594786491542,0.19766181464822033,0.17885568660514053,0.029291613910885087,0.23745626663918687,0.8741342458330407,0.7297998606713872,0.6932324328226808,0.7869440107048816,0.2891574850407578,0.8828520439160953,0.8459743524062631
453,1.0,0.5195530726256983,0.38589981447124305,0.3867406030536878,0.3673529358668595,0.8878006550159133,0.33168484479293364,0.3252423580216442,0.47215841663817204,0.21981546969074645,0.47195356666039534,0.047257150476030074,0.4535483425594008,0.8369241267197174,0.6021415249456438,0.5986407108893537,0.24062346320146868,0.016249922217962332,0.12596100239518682,0.03830929204956614
101,0.0,0.5642458100558659,0.5324675324675324,0.5326710088244175,0.7456598353996964,0.947915086958836,0.41069507036467795,0.656734552999701,0.5176861033449323,0.052393784874926116,0.20144254035199272,0.1325856799004733,0.8686533476468276,0.5207791034891072,0.9737393671590012,0.4609239475937695,0.3551550795604668,0.4115312121753479,0.0802582758058107,0.39806302231756907
49,0.0,0.2737430167597765,0.8348794063079777,0.8349371497241931,0.7333599443175185,0.3747008389064589,0.7207966047013984,0.9419614996397991,0.2211527244202184,0.8616924294487133,0.8687970412730736,0.8307203557619338,0.9898241461176981,0.5760428687545783,0.4423101246127809,0.324130690694545,0.008378212441019486,0.9500468699504404,0.8456260565896663,0.6394197672184688
414,1.0,0.3016759776536313,0.4712430426716141,0.4699059979355859,0.39009830685941577,0.8223221629786452,0.4352911472558476,0.8758490808355056,0.23888911237604843,0.014825537712505386,0.09656106348364743,0.4246928134846284,0.5113689229762597,0.2786840335965801,0.8658259436301327,0.8212598993668818,0.9188640486046495,0.28422058383699295,0.8325631301378158,0.14902060452755275
