,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL
261,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.2105263157894737,0.0,0.0,0.0,1.0,0.01293103448275862,0.0,0.0,0.016597510373443983,0.3333333333333333,0.030303030303030304,1.0,0.0636760752688172,0.09625962596259627,0.0007167265740365099,0.008426966292134831,0.015580736543909348,0.2835820895522388,0.0007168124483854888,0.007446574547632527,1.0,0.0,0.0,0.01507537688442211,0.1752577319587629,0.01079136690647482,0.018691588785046728,0.025157232704402517,0.2,0.012944983818770227,0.0,0.01652892561983471
343,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.2105263157894737,0.0,0.0,0.0,1.0,0.008620689655172414,0.0,0.0,0.016597510373443983,0.0,0.030303030303030304,1.0,0.03641633064516129,0.08250825082508251,0.0003011167829540792,0.0028089887640449437,0.0084985835694051,0.3283582089552239,0.0003011168191192812,0.003649822890004632,1.0,0.0,0.0,0.010050251256281407,0.1752577319587629,0.00539568345323741,0.010514018691588784,0.012578616352201259,0.16666666666666666,0.012944983818770227,0.0,0.01652892561983471
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736842105263158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008298755186721992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2268041237113402,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.008264462809917356
372,0.2857142857142857,0.13793103448275862,0.2826086956521739,0.0,0.02631578947368421,0.21052631578947367,0.11428571428571428,0.06315789473684211,0.23529411764705882,0.5,0.12121212121212122,1.0,0.28879310344827586,0.0,0.0,0.1825726141078838,0.0,0.15151515151515152,1.0,0.30590557795698925,0.5405207187385406,0.10860366142566187,0.20224719101123595,0.24575070821529746,0.04477611940298507,0.10860372594231035,0.20093959543117043,0.13978494623655915,0.19047619047619047,0.21052631578947367,0.3165829145728643,0.061855670103092786,0.24100719424460432,0.2488317757009346,0.31446540880503143,0.7,0.1715210355987055,0.03229090909090909,0.18181818181818182
326,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004310344827586207,0.0,0.0,0.0,0.3333333333333333,0.030303030303030304,1.0,0.0399445564516129,0.05500550055005501,0.00014685233876375863,0.0028089887640449437,0.0056657223796034,0.4925373134328358,0.0001466979375196498,0.0026699858218418504,1.0,0.0,0.0,0.005025125628140704,1.0,0.00539568345323741,0.005841121495327103,0.018867924528301886,0.16666666666666666,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.2947368421052632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012448132780082987,0.0,0.030303030303030304,1.0,0.022387432795698922,0.027502750275027504,2.058918174044986e-05,0.0,0.002124645892351275,1.0,2.0692130134350606e-05,0.0007486816184624886,1.0,0.0,0.0,0.0,0.1752577319587629,0.0017985611510791368,0.002336448598130841,0.006289308176100629,0.06666666666666667,0.012944983818770227,0.36363636363636365,0.012396694214876033
151,0.42857142857142855,0.2413793103448276,0.43478260869565216,0.0,0.42105263157894735,0.21052631578947367,0.22857142857142856,0.10526315789473684,0.23529411764705882,0.5,0.24242424242424243,1.0,0.25862068965517243,0.0,0.0,0.25311203319502074,0.0,0.2727272727272727,1.0,0.380922379032258,0.41309130913091313,0.07896783343557864,0.1910112359550562,0.23087818696883852,0.05970149253731343,0.0789679630234723,0.1912011192790196,0.04301075268817204,0.19047619047619047,0.21052631578947367,0.2613065326633166,0.07216494845360825,0.21223021582733814,0.24299065420560748,0.34591194968553457,0.6666666666666666,0.2912621359223301,0.3022545454545455,0.25206611570247933
144,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.2947368421052632,0.0,0.0,0.0,1.0,0.004310344827586207,0.0,0.0,0.012448132780082987,0.3333333333333333,0.030303030303030304,1.0,0.0399445564516129,0.05500550055005501,0.00014685233876375863,0.0028089887640449437,0.0056657223796034,0.4925373134328358,0.0001466979375196498,0.0026699858218418504,1.0,0.0,0.0,0.005025125628140704,0.2268041237113402,0.00539568345323741,0.005841121495327103,0.018867924528301886,0.16666666666666666,0.009708737864077669,0.0,0.012396694214876033
344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947368421052632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012448132780082987,0.0,0.030303030303030304,1.0,0.026041666666666664,0.04583791712504584,6.652021467310342e-05,0.0028089887640449437,0.0035410764872521247,0.5970149253731343,6.640011908784149e-05,0.0014515064877941499,1.0,0.0,0.0,0.0,0.2268041237113402,0.0017985611510791368,0.004672897196261682,0.006289308176100629,0.13333333333333333,0.009708737864077669,0.0,0.012396694214876033
148,0.0,0.0,0.021739130434782608,0.0,0.02631578947368421,0.0,0.0,0.2947368421052632,0.0,0.0,0.0,1.0,0.004310344827586207,0.0,0.0,0.012448132780082987,0.3333333333333333,0.030303030303030304,1.0,0.04032258064516129,0.04583791712504584,0.0001029459087022493,0.0028089887640449437,0.004957507082152974,0.5970149253731343,0.0001028429751453545,0.002246044855387466,1.0,0.0,0.0,0.005025125628140704,0.1752577319587629,0.00539568345323741,0.004672897196261682,0.018867924528301886,0.13333333333333333,0.012944983818770227,0.36363636363636365,0.012396694214876033
